Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Population, total",SP.POP.TOTL,Czechia,CZE,10546059,10697858,10505772,10672118,10864042,..
"Population, total",SP.POP.TOTL,Denmark,DNK,5683483,5831404,5856733,5903037,5946952,..
"Population, total",SP.POP.TOTL,Djibouti,DJI,1020313,1105188,1121248,1137096,1152944,..
"Population, total",SP.POP.TOTL,Dominica,DMA,70410,67573,67202,66826,66510,..
"Population, total",SP.POP.TOTL,Dominican Republic,DOM,10434829,11008300,11123476,11230734,11331265,..
"Population, total",SP.POP.TOTL,Ecuador,ECU,16266225,17546065,17682454,17823897,17980083,..
"Population, total",SP.POP.TOTL,"Egypt, Arab Rep.",EGY,99597342,109315124,110957008,112618250,114535772,..
"Population, total",SP.POP.TOTL,El Salvador,SLV,6183676,6234673,6255782,6280319,6309624,..
"Population, total",SP.POP.TOTL,Equatorial Guinea,GNQ,1453923,1716468,1758786,1803545,1847549,..
"Population, total",SP.POP.TOTL,Eritrea,ERI,3105546,3291271,3350183,3409447,3470390,..
"Population, total",SP.POP.TOTL,Estonia,EST,1315407,1329522,1330932,1348840,1370286,..
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1142813,1192729,1206593,1218917,1230506,..
"Population, total",SP.POP.TOTL,Ethiopia,ETH,103867135,118917671,122138588,125384287,128691692,..
"Population, total",SP.POP.TOTL,Faroe Islands,FRO,48901,52571,53315,53952,54482,..
"Population, total",SP.POP.TOTL,Fiji,FJI,918578,914963,916711,919422,924145,..
"Population, total",SP.POP.TOTL,Finland,FIN,5479531,5529543,5541017,5556106,5583911,..
"Population, total",SP.POP.TOTL,France,FRA,66548272,67601110,67842811,68065015,68287487,..
"Population, total",SP.POP.TOTL,French Polynesia,PYF,277866,279209,279792,280378,281118,..
"Population, total",SP.POP.TOTL,Gabon,GAB,2040989,2322539,2376722,2430747,2484789,..
"Population, total",SP.POP.TOTL,"Gambia, The",GMB,2224529,2515733,2576010,2636470,2697845,..
"Population, total",SP.POP.TOTL,Georgia,GEO,3725276,3722716,3708610,3712502,3715483,..
"Population, total",SP.POP.TOTL,Germany,DEU,81686611,83160871,83196078,83797985,83280000,..
"Population, total",SP.POP.TOTL,Ghana,GHA,28696068,31887809,32518665,33149152,33787914,..
"Population, total",SP.POP.TOTL,Gibraltar,GIB,33193,36173,36858,37609,38471,..
"Population, total",SP.POP.TOTL,Greece,GRC,10820883,10698599,10569207,10436882,10405588,..
"Population, total",SP.POP.TOTL,Greenland,GRL,56114,56367,56653,56661,56865,..
"Population, total",SP.POP.TOTL,Grenada,GRD,114676,116341,116688,116913,117081,..
"Population, total",SP.POP.TOTL,Guam,GUM,164905,162158,163730,165180,166506,..
"Population, total",SP.POP.TOTL,Guatemala,GTM,15971743,17357325,17598650,17847877,18124838,..
"Population, total",SP.POP.TOTL,Guinea,GIN,11767070,13371183,13710513,14055137,14405468,..
"Population, total",SP.POP.TOTL,Guinea-Bissau,GNB,1786457,2013255,2058841,2105529,2153339,..
"Population, total",SP.POP.TOTL,Guyana,GUY,758781,807481,815482,821637,826353,..
"Population, total",SP.POP.TOTL,Haiti,HTI,10523242,11243848,11374586,11503606,11637398,..
"Population, total",SP.POP.TOTL,Honduras,HND,9237305,10119640,10289877,10463872,10644851,..
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7291300,7481000,7413100,7346100,7536100,..
"Population, total",SP.POP.TOTL,Hungary,HUN,9843028,9750149,9709891,9644377,9592186,..
"Population, total",SP.POP.TOTL,Iceland,ISL,330815,366463,372520,382003,393349,..
"Population, total",SP.POP.TOTL,India,IND,1328024498,1402617695,1414203896,1425423212,1438069596,..
"Population, total",SP.POP.TOTL,Indonesia,IDN,261799249,274814866,276758053,278830529,281190067,..
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,82619362,87723443,88455488,89524246,90608707,..
"Population, total",SP.POP.TOTL,Iraq,IRQ,37560535,42116605,43071211,44070551,45074049,..
"Population, total",SP.POP.TOTL,Ireland,IRL,4701957,4985382,5033164,5165700,5307600,..
"Population, total",SP.POP.TOTL,Isle of Man,IMN,83593,84064,84106,84132,84165,..
"Population, total",SP.POP.TOTL,Israel,ISR,8380100,9215100,9371400,9557500,9756600,..
"Population, total",SP.POP.TOTL,Italy,ITA,60730582,59438851,59133173,59013667,58993475,..
"Population, total",SP.POP.TOTL,Jamaica,JAM,2802534,2830739,2837682,2839144,2839786,..
"Population, total",SP.POP.TOTL,Japan,JPN,127141000,126261000,125681593,125124989,124516650,..
"Population, total",SP.POP.TOTL,Jordan,JOR,9544729,10865228,11066356,11256263,11439213,..
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,18084169,19482117,19743603,20034609,20330104,..
"Population, total",SP.POP.TOTL,Kenya,KEN,47088526,52217334,53219166,54252461,55339003,..
"Population, total",SP.POP.TOTL,Kiribati,KIR,116815,126099,128377,130469,132530,..
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,25575350,26136312,26232534,26328845,26418204,..
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51014947,51836239,51769539,51672569,51712619,..
"Population, total",SP.POP.TOTL,Kosovo,XKX,1788274,1790152,1786080,1768096,1756366,..
"Population, total",SP.POP.TOTL,Kuwait,KWT,3834574,4400267,4360865,4589643,4853420,..
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6040035.5,6726595.5,6851224,6975219.5,7099750,..
"Population, total",SP.POP.TOTL,Lao PDR,LAO,6801645,7346533,7453194,7559007,7664993,..
"Population, total",SP.POP.TOTL,Latvia,LVA,1977527,1900449,1884490,1879383,1877445,..
"Population, total",SP.POP.TOTL,Lebanon,LBN,6472469,5702398,5718122,5744489,5773493,..
"Population, total",SP.POP.TOTL,Lesotho,LSO,2104611,2235727,2261542,2286110,2311472,..
"Population, total",SP.POP.TOTL,Liberia,LBR,4659431,5149463,5259323,5373294,5493031,..
"Population, total",SP.POP.TOTL,Libya,LBY,6531819,7045399,7135175,7223805,7305659,..
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,37494,38901,39182,39493,39850,..
"Population, total",SP.POP.TOTL,Lithuania,LTU,2904910,2794885,2800839,2831639,2871585,..
"Population, total",SP.POP.TOTL,Luxembourg,LUX,569604,630419,640064,653103,666430,..
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,642900,685400,682500,677300,678800,..
"Population, total",SP.POP.TOTL,Madagascar,MDG,25426702,28953556,29691083,30437261,31195932,..
"Population, total",SP.POP.TOTL,Malawi,MWI,17085587,19533888,20047258,20568728,21104482,..
"Population, total",SP.POP.TOTL,Malaysia,MYS,31232798,33889558,34282399,34695493,35126298,..
"Population, total",SP.POP.TOTL,Maldives,MDV,428154,502118,516154,524106,525994,..
"Population, total",SP.POP.TOTL,Mali,MLI,18593022,21713836,22388630,23072640,23769127,..
"Population, total",SP.POP.TOTL,Malta,MLT,445053,515332,518536,531511,552747,..
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,48800,42706,41367,40077,38827,..
"Population, total",SP.POP.TOTL,Mauritania,MRT,3965959,4600131,4734874,4875637,5022441,..
"Population, total",SP.POP.TOTL,Mauritius,MUS,1262879,1266014,1266334,1262523,1261041,..
"Population, total",SP.POP.TOTL,Mexico,MEX,121072306,126799054,127648148,128613117,129739759,..
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,108716,110916,111624,112114,112630,..
"Population, total",SP.POP.TOTL,Moldova,MDA,2835978,2635130,2595809,2528654,2457783,..
"Population, total",SP.POP.TOTL,Monaco,MCO,36757,38050,38527,38931,38956,..
"Population, total",SP.POP.TOTL,Mongolia,MNG,3026864,3327204,3383741,3433748,3481145,..
"Population, total",SP.POP.TOTL,Montenegro,MNE,622159,621306,619211,617213,616177,..
"Population, total",SP.POP.TOTL,Morocco,MAR,34607588,36584208,36954442,37329064,37712505,..
"Population, total",SP.POP.TOTL,Mozambique,MOZ,26547572,30783688,31707800,32656246,33635160,..
"Population, total",SP.POP.TOTL,Myanmar,MMR,51089056,53016522,53387102,53756787,54133798,..
"Population, total",SP.POP.TOTL,Namibia,NAM,2374300,2728762,2810548,2889662,2963095,..
"Population, total",SP.POP.TOTL,Nauru,NRU,10954,11643,11709,11801,11875,..
